Title,Link,Date Posted,Company,Location,Salary,Job Type
Process Engineer,https://findajob.dwp.gov.uk/details/18206253,18 April 2026,M Group Services,"Colchester, Anglia, CO4 9YQ","£45,000 to £54,000 per year",Permanent
Senior DevOps Engineer,https://findajob.dwp.gov.uk/details/18228559,23 April 2026,Hippo Digital,"Manchester, North West, M2 1DH","£57,000 to £64,000 per year",Hybrid remote
Senior Python Developer,https://findajob.dwp.gov.uk/details/18228565,23 April 2026,Hippo Digital,"Manchester, North West, M2 1DH","£57,000 to £72,000 per year",Hybrid remote
3rd Line Support Engineer,https://findajob.dwp.gov.uk/details/18151488,08 April 2026,Get Staffed Online Recruitment Limited,"Whiteley, PO15 7PA",Not specified,On-site only
Training Delivery Instructor - Electrical,https://findajob.dwp.gov.uk/details/18185588,15 April 2026,Capita plc,PO12 2AB,Not specified,On-site only
Principal Bridge Engineer,https://findajob.dwp.gov.uk/details/18269158,30 April 2026,BEAR Scotland,"Stepps, North Lanarkshire",Not specified,Hybrid remote
Senior Infrastructure Engineer,https://findajob.dwp.gov.uk/details/18219223,21 April 2026,Lloyds Banking Group,"Leeds, West Yorkshire, LS1 4AP","£72,702 to £80,780 per year",Hybrid remote
Senior Infrastructure Engineer,https://findajob.dwp.gov.uk/details/18219224,21 April 2026,Lloyds Banking Group,"Edinburgh, Edinburgh, EH11 4DT","£72,702 to £80,780 per year",Hybrid remote
Senior Service Designer,https://findajob.dwp.gov.uk/details/18192463,16 April 2026,Hippo Digital,"London, London, WC1R 4PS","£57,000 to £64,000 per year",Permanent
People Advisor,https://findajob.dwp.gov.uk/details/18199321,17 April 2026,Hippo Digital,"Leeds, Yorkshire, LS1 4HT","£35,000 to £38,000 per year",Permanent
Lead Python Developer,https://findajob.dwp.gov.uk/details/18228556,23 April 2026,Hippo Digital,"Manchester, North West, M2 1DH","£67,000 to £84,000 per year",Hybrid remote
