title,experience_level,company,location,city,date_posted,salary,link,job_type
Multi-Skilled Engineer - Nights,Entry-Level,The Compleat Food Group,Nottingham,Nottingham,2026-04-28,"£55,000 - £57,000",https://findajob.dwp.gov.uk/details/18254899,Permanent
Multi-Skilled Engineer,Entry-Level,The Compleat Food Group,Nottingham,Nottingham,2026-04-28,"£55,000 - £57,000",https://findajob.dwp.gov.uk/details/18254901,Permanent
Multi-Skilled Engineer,Entry-Level,The Compleat Food Group,Nottingham,Nottingham,2026-04-28,"£55,000 - £57,000",https://findajob.dwp.gov.uk/details/18253002,Permanent
Coded Pipe Fitter,Entry-Level,Mission Resourcing Ltd,"West Yorks, Yorkshire And The Humber",West Yorks,2026-04-23,£25 to £27 per hour,https://findajob.dwp.gov.uk/details/18230302,On-site only
13998 - Quantum Fellowship in Applications of Quantum Computing,Entry-Level,University of Edinburgh,"Edinburgh, Scotland",Edinburgh,2026-04-07,"£50,253 to £61,759 per year",https://findajob.dwp.gov.uk/details/18148440,Hybrid remote
Associate Civil Engineer,Entry-Level,Sweco,EC2M 7LS,EC2M 7LS,2026-04-14,Not specified,https://findajob.dwp.gov.uk/details/18180491,Hybrid remote
PDRA in Radar Sensing for Gait Analysis,Entry-Level,University of Dundee,"Dundee, Dundee, DD1 4HN",Dundee,2026-04-15,"£37,174 per year",https://findajob.dwp.gov.uk/details/18191530,Contract
Manufacturing Senior Design Engineer,Senior,MTS,"Hayes, London",Hayes,2026-04-22,"£40,000 to £55,000 per year",https://findajob.dwp.gov.uk/details/18224871,On-site only
AI & Data Archiect,Entry-Level,Experis,EC8A 3FR,EC8A 3FR,2026-04-27,"£80,000 to £120,000 per year",https://findajob.dwp.gov.uk/details/18244865,Permanent
INFRASTRUCTURE ENGINEER,Entry-Level,G4S,"Cheltenham, Gloucestershire",Cheltenham,2026-04-17,"£48,000 to £52,000 per year",https://findajob.dwp.gov.uk/details/18200383,On-site only
Engineering Teacher,Entry-Level,Class Act Teaching Services,"Banbury, South East, OX16 0UD",Banbury,2026-04-17,£168 to £261 per day,https://findajob.dwp.gov.uk/details/18204316,On-site only
Aircraft Planner,Entry-Level,Marshall of Cambridge Holdings Ltd,"Cambridge, Cambridgeshire, CB5 8RX",Cambridge,2026-04-09,Not specified,https://findajob.dwp.gov.uk/details/18161585,Permanent
Quantity Surveyor(Civils and Landscaping) (Hybrid),Entry-Level,Professional Personnel Management Ltd,"Woking, Surrey, GU21 6GH",Woking,2026-04-23,"£50,000 to £70,000 per year",https://findajob.dwp.gov.uk/details/18229305,Permanent
Electronics Design Engineer,Entry-Level,Talent Finder,B98 9NB,B98 9NB,2026-04-16,"£24,626 to £46,841 per year",https://findajob.dwp.gov.uk/details/18196414,On-site only
Project Quality Engineer,Entry-Level,P+S Personnel Services Ltd,"Great Yarmouth, Norfolk",Great Yarmouth,2026-04-28,Not specified,https://findajob.dwp.gov.uk/details/18254291,On-site only
Electrical Engineer,Entry-Level,Capita plc,PO12 3BY,PO12 3BY,2026-04-30,"£40,000 to £43,500 per year",https://findajob.dwp.gov.uk/details/18266437,On-site only
Aircraft Planner,Entry-Level,Marshall of Cambridge Holdings Ltd,"Cambridge, Cambridgeshire, CB5 8RX",Cambridge,2026-04-07,Not specified,https://findajob.dwp.gov.uk/details/18144603,Permanent
"Computing Lecturer, Associate, Birmingham",Entry-Level,QA Ltd,"Birmingham, Midlands, B3 3PL",Birmingham,2026-04-10,£50 per hour,https://findajob.dwp.gov.uk/details/18162530,Hybrid remote
"Computing Lecturer, Associate, London",Entry-Level,QA Ltd,"London, London, EC1R 4TF",London,2026-04-10,£49.00 to £50.00 per hour,https://findajob.dwp.gov.uk/details/18162531,Hybrid remote
"Computing Lecturer, Associate, Manchester",Entry-Level,QA Ltd,"Manchester, North West, M1 6FQ",Manchester,2026-04-10,£50 per hour,https://findajob.dwp.gov.uk/details/18162532,Hybrid remote
Test Engineer,Entry-Level,MTS,"Acton, West London",Acton,2026-04-22,"£36,000 to £38,000 per year",https://findajob.dwp.gov.uk/details/18224763,On-site only
Technical Author,Entry-Level,Morson Talent,DT2 8ZB,DT2 8ZB,2026-04-02,Not specified,https://findajob.dwp.gov.uk/details/18135800,On-site only
Training Delivery Instructor - Mechanical Engineering,Entry-Level,Capita plc,PO12 3BY,PO12 3BY,2026-04-15,Not specified,https://findajob.dwp.gov.uk/details/18187469,On-site only
Compliance Project Manager/ SAP,Manager,J Murphy & Sons,"Cannock, WS11 0FD",Cannock,2026-04-15,£40000-90000 per annum,https://findajob.dwp.gov.uk/details/18191266,Permanent
Training Delivery Instructor - Mechanical Engineering,Entry-Level,Capita plc,PO12 3BY,PO12 3BY,2026-04-17,Not specified,https://findajob.dwp.gov.uk/details/18199777,On-site only
Cyber Engineer – Cyber Innovation Hub,Entry-Level,Cardiff University,"Cardiff, Cardiff County",Cardiff,2026-04-22,"£28,031 to £31,236 per year",https://findajob.dwp.gov.uk/details/18223814,On-site only
Process Engineer - One Alliance,Entry-Level,Mott MacDonald,"Peterborough, PE3 6WT",Peterborough,2026-04-19,Not specified,https://findajob.dwp.gov.uk/details/18207087,Permanent
Systems Engineer,Entry-Level,New Appointments Group Ltd,"Canterbury, Kent, CT3 3FS",Canterbury,2026-04-22,Not specified,https://findajob.dwp.gov.uk/details/18225579,Permanent
CMM Programmer,Entry-Level,Staffline,GL51 4TQ,GL51 4TQ,2026-04-24,"£40,000 to £48,000 per year",https://findajob.dwp.gov.uk/details/18238865,On-site only
Mechanical Engineer,Entry-Level,Richmond and Wandsworth Councils,"Wandsworth, London, SW18 2PU",Wandsworth,2026-04-10,"£48,873 to £62,451 per year",https://findajob.dwp.gov.uk/details/18168102,Permanent
CNC Machinist / Setter / Operator / Miller / Turner / Programmer,Entry-Level,AWD online,"Sutton-In-Ashfield, Nottinghamshire",Sutton-In-Ashfield,2026-04-08,Not specified,https://findajob.dwp.gov.uk/details/18153669,On-site only
User Researchers - Contractors Inside IR35,Entry-Level,Hippo Digital,"Leeds, Yorkshire, LS1 4HT",Leeds,2026-04-23,£475 to £525 per day,https://findajob.dwp.gov.uk/details/18228564,Hybrid remote
Scheduler / Coordinator,Entry-Level,Hays Specialist Recruitment,"Cardiff, Cardiff, CF10 5BT",Cardiff,2026-04-29,£117.0 per day,https://findajob.dwp.gov.uk/details/18263569,Temporary
Multi Skilled Maintenance Engineer (Electrical Bias),Entry-Level,AWD online,"Hyde, Greater Manchester",Hyde,2026-04-28,"£45,000 to £47,000 per year",https://findajob.dwp.gov.uk/details/18254884,On-site only
Jet Engine Trend Analysis Manager,Manager,Spectro | Jet-Care,RG29 1AB,RG29 1AB,2026-04-20,"£45,000 per year",https://findajob.dwp.gov.uk/details/18210801,On-site only
Trainee HGV Mechanic (LGV / Vehicle Technician),Entry-Level,AWD online,"Coventry, West Midlands",Coventry,2026-04-24,Not specified,https://findajob.dwp.gov.uk/details/18238881,On-site only
